"Genes,Type"
"CLIP3,Down"
"LINC00672,Down"
"PTH1R,Down"
"ECM1,Down"
"COL16A1,Down"
"NCAM1,Down"
"PDE1C,Down"
"OSR2,Down"
"MMP23B,Down"
"FBLN5,Down"
"DAAM2,Down"
"CAMK1G,Down"
"SPOCK3,Down"
"EGFLAM,Down"
"ITIH5,Down"
"WIF1,Down"
"ZNF423,Down"
"CD200,Down"
"ARSI,Down"
"TPST1,Down"
"ANGPTL1,Down"
"TBX4,Down"
"RBMS3,Down"
"SLC38A5,Down"
"CSRNP3,Down"
"C1QL1,Down"
"C2ORF88,Down"
"CLIP2,Down"
"HAPLN1,Down"
"BMP4,Down"
"BHMT2,Down"
"PCDH18,Down"
"ITM2A,Down"
"PPP1R1A,Down"
"FRRS1L,Down"
"ANGPT1,Down"
"SLC8A1,Down"
"GPM6B,Down"
"ACOX2,Down"
"FLRT2,Down"
"ANKDD1A,Down"
"PALLD,Down"
"DUSP19,Down"
"RGS9,Down"
"RCSD1,Down"
"EMP3,Down"
"IGDCC4,Down"
"EFEMP2,Down"
"LMO3,Down"
"NRK,Down"
"CYP11A1,Down"
"PSRC1,Down"
"MEIS2,Down"
"WNT2B,Down"
"TAFA1,Down"
"TIMP3,Down"
"PLCL1,Down"
"CCDC136,Down"
"EIF4EBP2,Down"
"EDIL3,Down"
"RBP4,Down"
"SRPX,Down"
"S1PR1,Down"
"PCDH10,Down"
"TMEM158,Down"
"PRICKLE2,Down"
"VIT,Down"
"KCNE3,Down"
"SRD5A2,Down"
"DAPL1,Down"
"LARGE1,Down"
"NLGN3,Down"
"DPT,Down"
"CLU,Down"
"ANKRD33B,Down"
"GBP2,Down"
"ANGPTL2,Down"
"S1PR3,Down"
"DZIP1,Down"
"COL4A6,Down"
"GNAZ,Down"
"NEURL1B,Down"
"C7,Down"
"NES,Down"
"COL13A1,Down"
"MGARP,Down"
"SV2A,Down"
"SCARA3,Down"
"GPR161,Down"
"CORO2B,Down"
"SERPINF1,Down"
"COL6A3,Down"
"HEY1,Down"
"BST2,Down"
"EDNRB,Down"
"AKAP12,Down"
"AEBP1,Down"
"DNM3,Down"
"HIF3A,Down"
"KCNQ2,Down"
"GALNT13,Down"
"RAB9B,Down"
"TMEM132C,Down"
"SYNC,Down"
"NID2,Down"
"CLIC6,Down"
"COL14A1,Down"
"TVP23A,Down"
"LAMA2,Down"
"CPNE5,Down"
"TOX2,Down"
"ACSL4,Down"
"FHOD3,Down"
"KCNT2,Down"
"LRRC17,Down"
"SERPING1,Down"
"ITGA8,Down"
"KCNJ8,Down"
"ATP1A2,Down"
"RAB34,Down"
"SLC24A3,Down"
"FERMT2,Down"
"PDE7B,Down"
"LDB3,Down"
"GSTM3,Down"
"IGSF1,Down"
"NEXN,Down"
"SLMAP,Down"
"TCF7L1,Down"
"HOGA1,Down"
"DAB1,Down"
"PHYHIPL,Down"
"STK33,Down"
"GJC1,Down"
"EMILIN3,Down"
"MAMLD1,Down"
"KLHL14,Down"
"TAFA2,Down"
"SFRP2,Down"
"RGS7BP,Down"
"TNIK,Down"
"ITGA1,Down"
"HSPB3,Down"
"PNMA8B,Down"
"FBLN2,Down"
"NAP1L3,Down"
"EXT1,Down"
"DOCK3,Down"
"MLC1,Down"
"LMOD1,Down"
"CX3CL1,Down"
"BEND5,Down"
"EPHB1,Down"
"KRT14,Down"
"NPTX2,Down"
"SLIT2,Down"
"PGF,Down"
"TPM2,Down"
"INSYN2A,Down"
"C1R,Down"
"LTB4R,Down"
"SLITRK6,Down"
"ADH1C,Down"
"PENK,Down"
"DCHS1,Down"
"LUM,Down"
"PDGFC,Down"
"NT5E,Down"
"G0S2,Down"
"EFEMP1,Down"
"EID3,Down"
"CAV1,Down"
"FGF2,Down"
"HOXD13,Down"
"APOBEC3C,Down"
"ID4,Down"
"MYOCD,Down"
"ACVRL1,Down"
"SEMA6D,Down"
"SACS,Down"
"MSRB3,Down"
"NAALADL1,Down"
"MAL,Down"
"HSPB2,Down"
"MEIS1,Down"
"NUDT10,Down"
"RSPH14,Down"
